province,municipality,change_from_2019,category
Abra,Bangued,2980,Gainers
Abra,Bucay,1981,Gainers
Abra,La Paz,1332,Gainers
Abra,Lagangilang,1100,Gainers
Abra,Dolores,1096,Gainers
Abra,Lacub,863,Gainers
Abra,Danglas,509,Gainers
Abra,Pilar,458,Gainers
Abra,Lagayan,366,Gainers
Abra,Tubo,355,Gainers
Abra,Pidigan,347,Gainers
Abra,Sallapadan,305,Gainers
Abra,San Isidro,135,Gainers
Abra,Penarrubia,82,Gainers
Abra,Malibcong,71,Gainers
Abra,San Quintin,64,Gainers
Abra,Daguioman,63,Gainers
Abra,Bucloc,50,Gainers
Abra,Boliney,46,Gainers
Abra,Licuan-Baay,35,Gainers
Abra,Luba,30,Gainers
Abra,San Juan,15,Gainers
Abra,Tayum,3,Gainers
Abra,Langiden,-172,Losers
Abra,Manabo,-90,Losers
Abra,Villaviciosa,-68,Losers
Abra,Tineg,-57,Losers
Agusan Del Norte,Buenavista,6357,Gainers
Agusan Del Norte,Butuan City,1866,Gainers
Agusan Del Norte,Las Nieves,1641,Gainers
Agusan Del Norte,Santiago,1450,Gainers
Agusan Del Norte,Cabadbaran City,832,Gainers
Agusan Del Norte,Tubay,821,Gainers
Agusan Del Norte,Remedios T. Romualdez,735,Gainers
Agusan Del Norte,Carmen,616,Gainers
Agusan Del Norte,Nasipit,598,Gainers
Agusan Del Norte,Kitcharao,129,Gainers
Agusan Del Norte,Magallanes,124,Gainers
Agusan Del Norte,Jabonga,29,Gainers
Agusan Del Sur,Rosario,5811,Gainers
Agusan Del Sur,La Paz,4076,Gainers
Agusan Del Sur,Bayugan City,4070,Gainers
Agusan Del Sur,San Francisco,2752,Gainers
Agusan Del Sur,Esperanza,2641,Gainers
Agusan Del Sur,Sibagat,2130,Gainers
Agusan Del Sur,San Luis,2095,Gainers
Agusan Del Sur,Prosperidad,1586,Gainers
Agusan Del Sur,Loreto,880,Gainers
Agusan Del Sur,Talacogon,664,Gainers
Agusan Del Sur,Trento,133,Gainers
Agusan Del Sur,Veruela,-1496,Losers
Agusan Del Sur,Santa Josefa,-1094,Losers
Agusan Del Sur,Bunawan,-836,Losers
Aklan,New Washington,3476,Gainers
Aklan,Numancia,3307,Gainers
Aklan,Nabas,3104,Gainers
Aklan,Makato,3065,Gainers
Aklan,Ibajay,3054,Gainers
Aklan,Kalibo,2121,Gainers
Aklan,Tangalan,1729,Gainers
Aklan,Banga,1670,Gainers
Aklan,Batan,787,Gainers
Aklan,Madalag,620,Gainers
Aklan,Libacao,599,Gainers
Aklan,Lezo,520,Gainers
Aklan,Malinao,520,Gainers
Aklan,Buruanga,506,Gainers
Aklan,Altavas,326,Gainers
Aklan,Balete,-526,Losers
Aklan,Malay,-348,Losers
Albay,Legazpi City,22422,Gainers
Albay,Daraga,14635,Gainers
Albay,Ligao City,10355,Gainers
Albay,Tabaco City,8839,Gainers
Albay,Polangui,6419,Gainers
Albay,Guinobatan,6063,Gainers
Albay,Camalig,5052,Gainers
Albay,Oas,4676,Gainers
Albay,Tiwi,3822,Gainers
Albay,Malilipot,3605,Gainers
Albay,Bacacay,3008,Gainers
Albay,Santo Domingo,2959,Gainers
Albay,Malinao,2769,Gainers
Albay,Manito,2241,Gainers
Albay,Rapu-rapu,1353,Gainers
Albay,Pio Duran,750,Gainers
Albay,Jovellar,593,Gainers
Albay,Libon,53,Gainers
Antique,Sibalom,4393,Gainers
Antique,San Remigio,3531,Gainers
Antique,Caluya,3396,Gainers
Antique,San Jose,3268,Gainers
Antique,Hamtic,2411,Gainers
Antique,Culasi,1903,Gainers
Antique,Pandan,1691,Gainers
Antique,Tobias Fornier,1585,Gainers
Antique,Patnongon,936,Gainers
Antique,Tibiao,880,Gainers
Antique,Anini-y,875,Gainers
Antique,Valderrama,806,Gainers
Antique,Libertad,652,Gainers
Antique,Sebaste,522,Gainers
Antique,Bugasong,504,Gainers
Antique,Laua-an,451,Gainers
Antique,Belison,435,Gainers
Antique,Barbaza,70,Gainers
Apayao,Conner,2922,Gainers
Apayao,Luna,1275,Gainers
Apayao,Pudtol,1251,Gainers
